property_title,property_location,price,area,listing_type
300 m2 4 Bedrooms Townhouse for Rent in Dhofar Mirbat,"Dhofar, Mirbat",45.0,300.0,For Rent
Storage Rental services at the heart of Muscat just 10 min for Muscat Airport,"Muscat, Ghala",19.0,40.0,For Rent
Furnished Daily in Muscat Bosher,"Muscat, Bosher",5.0,40.0,For Rent
4 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",85.0,4.0,For Rent
200 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",100.0,200.0,For Rent
600 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",10.0,600.0,For Rent
Villa for Rent,"Muscat, Al Maabilah",370.0,240.0,For Rent
1000 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15.0,1000.0,For Rent
300 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",120.0,300.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",25.0,300.0,For Rent
Unfurnished Monthly in Buraimi Al Buraimi,"Buraimi, Al Buraimi",55.0,300.0,For Rent
3 Bedrooms Chalet for Rent in Muscat Al-Hail,"Muscat, Al-Hail",65.0,230.0,For Rent
266 m2 3 Bedrooms Villa for Rent in Muscat Amerat,"Muscat, Amerat",260.0,266.0,For Rent
450 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25.0,450.0,For Rent
10 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50.0,10.0,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",100.0,10.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",20.0,10.0,For Rent
2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35.0,10.0,For Rent
16 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15.0,16.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",17.0,16.0,For Rent
1500 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",180.0,1500.0,For Rent
75 m2 2 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",60.0,75.0,For Rent
120 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30.0,120.0,For Rent
4 Bedrooms Chalet for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",60.0,666.0,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30.0,200.0,For Rent
2 Bedrooms Chalet for Rent in Dhofar Mirbat,"Dhofar, Mirbat",100.0,200.0,For Rent
AMAZING FLAT IN RUWI WITH A GREAT VIEW AND SUPER CLEAN AND IN VERY QUEIT AND SAFE PLACE,"Muscat, Ruwi",90.0,200.0,For Rent
Furnished Daily in Muscat Al Khuwair,"Muscat, Al Khuwair",9.0,300.0,For Rent
62 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",23.0,62.0,For Rent
277 m2 4 Bedrooms Townhouse for Rent in Dhofar Mirbat,"Dhofar, Mirbat",85.0,277.0,For Rent
الإيجار شهري   محلات تجاريه ومخازن ولاية صور العيجه 3,"Al Sharqiya, Sur",35.0,55.0,For Rent
500 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",130.0,500.0,For Rent
1 Bedroom Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",30.0,150.0,For Rent
Furnished Monthly in Muscat Bosher,"Muscat, Bosher",70.0,150.0,For Rent
moon house furnished apartment,"Dhofar, Salala",30.0,50.0,For Rent
420 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",100.0,420.0,For Rent
Room for rent only for single person,"Muscat, Al Khuwair",80.0,1.0,For Rent
600 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",25.0,600.0,For Rent
72 m2 Studio Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",13.0,72.0,For Rent
20 m2 Studio Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",180.0,20.0,For Rent
450 m2 More than 6 bedrooms Townhouse for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",470.0,450.0,For Rent
200 m2 4 Bedrooms Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",250.0,200.0,For Rent
500 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1.0,500.0,For Rent
10 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45.0,10.0,For Rent
900 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",80.0,900.0,For Rent
Furnished Daily in Al Sharqiya Ibra,"Al Sharqiya, Ibra",10.0,900.0,For Rent
412 m2 More than 6 bedrooms Townhouse for Rent in Al Batinah Liwa,"Al Batinah, Liwa",350.0,412.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Ghala,"Muscat, Ghala",260.0,100.0,For Rent
مكتب للايجار / بوشر,"Muscat, Bosher",25.0,71.0,For Rent
محل كورنر للايجار في الخوض 6 (برج المعرفة) New shop for rent Al Khoud6,"Muscat, Al Khoud",200.0,36.0,For Rent
محلات للإيجار - جديدة ( الباطنة السويق),"Al Batinah, Suwaiq",100.0,360.0,For Rent
120 m2 2 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",15.0,120.0,For Rent
40 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",12.0,40.0,For Rent
مكتب للايجار,"Muscat, Bosher",200.0,71.0,For Rent
250 m2 5 Bedrooms Villa for Rent in Al Batinah Barka,"Al Batinah, Barka",350.0,250.0,For Rent
96 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",100.0,96.0,For Rent
Bed space in master bedroom,"Muscat, Bosher",45.0,96.0,For Rent
1 m2 2 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",50.0,1.0,For Rent
100 m2 3 Bedrooms Apartments for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",145.0,100.0,For Rent
135 m2 4 Bedrooms Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",170.0,135.0,For Rent
112 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",175.0,112.0,For Rent
400 m2 3 Bedrooms Villa for Rent in Muscat Seeb,"Muscat, Seeb",500.0,400.0,For Rent
200 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",60.0,200.0,For Rent
محل للإيجار حي التضامن، قريب المدارس ومحطة بترول,"Muscat, Al Maabilah",80.0,15.0,For Rent
Furnished Daily in Dhofar Taqah,"Dhofar, Taqah",13.0,15.0,For Rent
9 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",18.0,9.0,For Rent
Residential Land for Rent in Dhofar Salala,"Dhofar, Salala",25.0,9.0,For Rent
"For rent, a luxurious and elegant fully furnished apartment","Muscat, Bosher",300.0,100.0,For Rent
شاليه في صحنوت للايجار اليومي,"Dhofar, Salala",90.0,600.0,For Rent
12 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",70.0,12.0,For Rent
700 m2 4 Bedrooms Apartments for Rent in Al Dhahirah Ibri,"Al Dhahirah, Ibri",50.0,700.0,For Rent
Deluxe 1BHK apartment for rent in Muscat Hills Avenues,"Muscat, Muscat Hills",300.0,70.0,For Rent
1 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15.0,1.0,For Rent
256 m2 4 Bedrooms Apartments for Rent in Al Wustaa Al Duqum,"Al Wustaa, Al Duqum",250.0,256.0,For Rent
250 m2 5 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",7.0,250.0,For Rent
400 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",20.0,400.0,For Rent
200 m2 1 Bedroom Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",20.0,200.0,For Rent
250 m2 1 Bedroom Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",6.0,250.0,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",35.0,2000.0,For Rent
3 Bed room House for rent In Al AshKharah ( Wifi + Swimming pool + Billiard ),"Al Sharqiya, Other",40.0,200.0,For Rent
300 m2 3 Bedrooms Apartments for Rent in Al Sharqiya Masira,"Al Sharqiya, Masira",1.0,300.0,For Rent
New Shops For Rent near Naseem Garden in Rumais للإيجار محلات جديدة   قريب حديقة النسيم في الرميس,"Al Batinah, Al Rumais",85.0,24.0,For Rent
Furnished Monthly in Muscat Halban,"Muscat, Halban",80.0,24.0,For Rent
Hawana salalah -هوانا صلاله شقه 2 غرفه + 2 حمام  تجهيز فندقى + واجهه متميزه على المارينا مباشره,"Dhofar, Taqah",25.0,120.0,For Rent
"محل للايجار العذيبه قريب فندق بارك إن/Shop for rent in AL-AZAIBA, near Park Inn Hotel","Muscat, Azaiba",1200.0,200.0,For Rent
Unfurnished Monthly in Muscat Azaiba,"Muscat, Azaiba",220.0,600.0,For Rent
"Spacious Fully Furnished 2BHK Apartment in Al Ghubra, Muscat (with Free WiFi)","Muscat, Ghubrah",325.0,100.0,For Rent
Unfurnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",100.0,100.0,For Rent
محل للإيجار في الخوض,"Muscat, Al Khoud",500.0,80.0,For Rent
400 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",35.0,400.0,For Rent
30 Sqm Shop for rent in Mawaleh محل للإيجار بمساحة 30 متر مربع في الموالح,"Muscat, Al Mawaleh",250.0,30.0,For Rent
345 m2 4 Bedrooms Villa for Rent in Dhofar Taqah,"Dhofar, Taqah",60.0,345.0,For Rent
65 m2 2 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",180.0,65.0,For Rent
3 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",120.0,3.0,For Rent
1BHK Apartment for Rent  November Building – Al Khuwair,"Muscat, Al Khuwair",325.0,75.0,For Rent
400 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",90.0,400.0,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Thumrait,"Dhofar, Thumrait",25.0,120.0,For Rent
مكاتب مفروشة جاهزة للاستخدام العذيبة-Furnished offices ready to use in Al Azaiba,"Muscat, Azaiba",180.0,230.0,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25.0,200.0,For Rent
300 m2 More than 6 bedrooms Villa for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",800.0,300.0,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Saham,"Al Batinah, Saham",25.0,800.0,For Rent
Furnished Monthly in Muscat Ghubrah,"Muscat, Ghubrah",150.0,800.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",60.0,800.0,For Rent
Prime Executive Office Spaces Alfardan Heights - Prime Location + 2 Months Free,"Muscat, Ghala",5530.0,790.0,For Rent
30 m2 1 Bedroom Apartments for Rent in Muscat Qurm,"Muscat, Qurm",140.0,30.0,For Rent
4+1 BEDROOM COMPOUND VILLA,"Muscat, Hamriya",1200.0,1.0,For Rent
46545 m2 Studio Apartments for Rent in Muscat Qurm,"Muscat, Qurm",190.0,46545.0,For Rent
300 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45.0,300.0,For Rent
High quality commercial Building,"Al Batinah, Al Masnaah",3000.0,2176.0,For Rent
150 m2 3 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",150.0,150.0,For Rent
200 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25.0,200.0,For Rent
"New shops for rent, in Mubilla \  محلات للإيجار في المعبيلة الجنوبية بناية جديدة","Muscat, Al Maabilah",450.0,1900.0,For Rent
580 m2 5 Bedrooms Townhouse for Rent in Dhofar Taqah,"Dhofar, Taqah",60.0,580.0,For Rent
4550 ft² 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25.0,580.0,For Rent
Furnished Daily in Muscat Al-Hail,"Muscat, Al-Hail",5.0,100.0,For Rent
150 m2 More than 6 bedrooms Townhouse for Rent in Muscat Al Khoud,"Muscat, Al Khoud",400.0,150.0,For Rent
90 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",180.0,90.0,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",230.0,100.0,For Rent
90 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",150.0,90.0,For Rent
معارض للايجار في المعبيلة على الشارع العام الرئيسي show room for rent,"Muscat, Al Maabilah",400.0,1200.0,For Rent
909 m2 1 Bedroom Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",9999.0,909.0,For Rent
150 m2 1 Bedroom Villa for Rent in Muscat Al-Sifah,"Muscat, Al-Sifah",30.0,150.0,For Rent
Unfurnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",105.0,150.0,For Rent
fully furnished apartment in almouj marsa gardens block A,"Muscat, Al Mouj",550.0,85.0,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Sohar,"Al Batinah, Sohar",1.0,600.0,For Rent
600 m2 More than 6 bedrooms Townhouse for Rent in Al Dakhiliya Hamra,"Al Dakhiliya, Hamra",350.0,600.0,For Rent
155 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",15.0,155.0,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",12.0,155.0,For Rent
Semi Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",85.0,155.0,For Rent
400 m2 3 Bedrooms Villa for Rent in Muscat Al-Sifah,"Muscat, Al-Sifah",60.0,400.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",90.0,400.0,For Rent
103 m2 2 Bedrooms Apartments for Rent in Muscat Qurm,"Muscat, Qurm",390.0,103.0,For Rent
80 m2 2 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",200.0,80.0,For Rent
100 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",250.0,100.0,For Rent
محل للايجار في العامرات المنطقة الخامسه خلف مركز الصحي,"Muscat, Amerat",80.0,40.0,For Rent
120 m2 3 Bedrooms Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",260.0,120.0,For Rent
استوديوهات للايجار ( غرفة وصالة حمام ومطبخ) بناية تقع في حي تجاري في صحلنوت الشمالية .,"Dhofar, Salala",20.0,80.0,For Rent
60 m2 Studio Apartments for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",16.0,60.0,For Rent
200 m2 1 Bedroom Apartments for Rent in Al Batinah Shinas,"Al Batinah, Shinas",120.0,200.0,For Rent
صالون للإيجار – سوق الخوض  89 متر مربع  450 ريال عماني شهرياً saloon space for rent al khoud,"Muscat, Al Khoud",450.0,89.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",130.0,100.0,For Rent
158 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",230.0,158.0,For Rent
ok good quality room,"Al Batinah, Liwa",25.0,158.0,For Rent
Office for rent in Ghala Near Star Bucks  مكتب للإيجار في غلا بالقرب من ستار باكس,"Muscat, Ghala",1000.0,235.0,For Rent
700 m2 5 Bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",600.0,700.0,For Rent
Gread Deal Office for rent in Souq Al Khoud /مكتب رائع للإيجار في سوق الخوض,"Muscat, Al Khoud",200.0,27.0,For Rent
10 m2 3 Bedrooms Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",20.0,10.0,For Rent
71 m2 2 Bedrooms Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",220.0,71.0,For Rent
Ghubrah North studio room bathroom kitchen for rent الغبره الشماليه استوديو غرفه وحمام ومطبخ للإيجار,"Muscat, Ghubrah",160.0,40.0,For Rent
160 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",16.0,160.0,For Rent
معرض كبيير على شارع السلطان قابوس في الغبره جنب مستشفى الرفاعه,"Muscat, Ghubrah",7500.0,600.0,For Rent
Apartment for rent in Muscat hills,"Muscat, Muscat Hills",500.0,1111.0,For Rent
Ghubrah North prime location 2bhk for rent شقه بالغبره الشماليه غرفتين ومجلس و3 دورات مياه للايجار,"Muscat, Ghubrah",250.0,90.0,For Rent
مطلوب شخص يستأجر مساحه لعمل كوفي في مبنى مكاتب في غلا الاولى,"Muscat, Ghala",200.0,20.0,For Rent
3 Bedrooms Chalet for Rent in Muscat Quriyat,"Muscat, Quriyat",40.0,500.0,For Rent
900 m2 More than 6 bedrooms Villa for Rent in Muscat Qurm,"Muscat, Qurm",2500.0,900.0,For Rent
400 m2 4 Bedrooms Villa for Rent in Muscat Bosher,"Muscat, Bosher",600.0,400.0,For Rent
Villa for rent in Bousher/فيلا للايجار بوشر,"Muscat, Bosher",650.0,400.0,For Rent
100 m2 3 Bedrooms Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",120.0,100.0,For Rent
94 m2 2 Bedrooms Apartments for Rent in Muscat Qurm,"Muscat, Qurm",350.0,94.0,For Rent
222 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",25.0,222.0,For Rent
530 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",120.0,530.0,For Rent
600 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",25.0,600.0,For Rent
900 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",2.0,900.0,For Rent
More than 6 bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",40.0,2000.0,For Rent
80 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",3.0,80.0,For Rent
100 m2 2 Bedrooms Townhouse for Rent in Muscat Al-Hail,"Muscat, Al-Hail",180.0,100.0,For Rent
5 ft² 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50.0,100.0,For Rent
Semi Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",70.0,100.0,For Rent
Unfurnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",130.0,120.0,For Rent
400 m2 1 Bedroom Apartments for Rent in Muscat Bosher,"Muscat, Bosher",130.0,400.0,For Rent
يوجد لدينا محلات للايجار  فرصه استثمارية اقل الاسعار,"Al Batinah, Barka",60.0,10000000.0,For Rent
One bhk apartment in madinat ilam,"Muscat, Madinat As Sultan Qaboos",360.0,100.0,For Rent
Room and bathroom studio for single tenant. Yearly contract only,"Muscat, Azaiba",200.0,30.0,For Rent
One bedroom studio in madinat ilam,"Muscat, Madinat As Sultan Qaboos",199.0,40.0,For Rent
3 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",25.0,300.0,For Rent
1 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",150.0,1.0,For Rent
150 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",1.0,150.0,For Rent
45 m2 Studio Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",125.0,45.0,For Rent
1111 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20.0,1111.0,For Rent
500 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",100.0,500.0,For Rent
150 m2 5 Bedrooms Townhouse for Rent in Al Batinah Rustaq,"Al Batinah, Rustaq",80.0,150.0,For Rent
Unfurnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",110.0,150.0,For Rent
78 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30.0,78.0,For Rent
5 Bedrooms Chalet for Rent in Al Batinah Saham,"Al Batinah, Saham",25.0,10.0,For Rent
عقود إيجار مؤقتة في السيب و بركاء,"Al Batinah, Barka",1.0,100.0,For Rent
450 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",45.0,450.0,For Rent
24 m2 1 Bedroom Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",15.0,24.0,For Rent
120 m2 3 Bedrooms Apartments for Rent in Al Dakhiliya Bahla,"Al Dakhiliya, Bahla",110.0,120.0,For Rent
محل تجاري في واجهة سوق الخوض,"Muscat, Al Khoud",1400.0,144.0,For Rent
مكتب مميز للإيجار في قلب الخوض – إطلالة جميلة وتصميم عصري بجوار جامعة السلطان قابوس,"Muscat, Al Khoud",280.0,57.0,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",7.0,57.0,For Rent
130 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",140.0,130.0,For Rent
Furnished Yearly in Muscat Qurm,"Muscat, Qurm",100.0,130.0,For Rent
50 m2 1 Bedroom Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",50.0,50.0,For Rent
150 m2 1 Bedroom Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",25.0,150.0,For Rent
Unfurnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",120.0,120.0,For Rent
99 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",150.0,99.0,For Rent
180 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40.0,180.0,For Rent
For Rent  OMR 160,"Muscat, Al Maabilah",160.0,85.0,For Rent
600 m2 5 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",60.0,600.0,For Rent
Furnished Daily in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",12.0,600.0,For Rent
500 m2 More than 6 bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",100000.0,500.0,For Rent
70 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25.0,70.0,For Rent
"For daily and monthly rent, shared residential rooms for young people on the main Al Maha Street","Muscat, Al Khuwair",35.0,70.0,For Rent
450 m2 More than 6 bedrooms Villa for Rent in Muscat Amerat,"Muscat, Amerat",380.0,450.0,For Rent
Mixed Use Land for Rent in Al Batinah Barka,"Al Batinah, Barka",500.0,450.0,For Rent
2 m2 1 Bedroom Apartments for Rent in Dhofar Other,"Dhofar, Other",15.0,2.0,For Rent
2 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",50.0,150.0,For Rent
1 Bedroom Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",8.0,70.0,For Rent
180 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25.0,180.0,For Rent
Farm house for rent,"Muscat, Al Maabilah",50.0,1200.0,For Rent
300 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",120.0,300.0,For Rent
2 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35.0,2.0,For Rent
محل للإيجار / صناعية الخابوره,"Al Batinah, Al Khaboura",100.0,28.0,For Rent
AL khoud 7 room for rent boys,"Muscat, Al Khoud",105.0,28.0,For Rent
160 m2 1 Bedroom Apartments for Rent in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",80.0,160.0,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",130.0,100.0,For Rent
Furnished Daily in Muscat Al Khuwair,"Muscat, Al Khuwair",10.0,120.0,For Rent
45 m2 Studio Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",12.0,45.0,For Rent
90 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",18.0,90.0,For Rent
85 m2 Studio Apartments for Rent in Al Batinah Sohar,"Al Batinah, Sohar",90.0,85.0,For Rent
3 Bedrooms Chalet for Rent in Muscat Al-Bustan,"Muscat, Al-Bustan",40.0,500.0,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",20.0,500.0,For Rent
"House for Rent Al Ashkharah , for daily rent ,","Al Sharqiya, Other",30.0,200.0,For Rent
89 m2 1 Bedroom Apartments for Rent in Muscat Al Mouj,"Muscat, Al Mouj",570.0,89.0,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",220.0,110.0,For Rent
محلات للإيجار في المصنعة - الشرس,"Al Batinah, Al Masnaah",35.0,18.0,For Rent
مكتب تجاري في أكثر منطقة حيوية في مسقط شارع المها ( الخوير الجنوبية) بوشر للايجار,"Muscat, Bosher",330.0,72.0,For Rent
villa for family 3bed room in otab near sohar university,"Al Batinah, Sohar",220.0,180.0,For Rent
flat 2bedroom شقة للايجار غرفتين,"Muscat, Al Maabilah",220.0,100.0,For Rent
250 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35.0,250.0,For Rent
130 m2 1 Bedroom Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",135.0,130.0,For Rent
200 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40.0,200.0,For Rent
100 m2 Studio Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",190.0,100.0,For Rent
Furnished Monthly in Al Batinah Sohar,"Al Batinah, Sohar",145.0,100.0,For Rent
Semi Furnished Monthly in Muscat Seeb,"Muscat, Seeb",15.0,100.0,For Rent
350 m2 4 Bedrooms Villa for Rent in Muscat Ansab,"Muscat, Ansab",500.0,350.0,For Rent
3 Bedrooms Chalet for Rent in Al Batinah Saham,"Al Batinah, Saham",35.0,1000.0,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Other,"Dhofar, Other",25.0,200.0,For Rent
مطلوب فيلا تجارية تصلح لروضة أطفال,"Dhofar, Salala",500.0,500.0,For Rent
مكاتب مؤثثة للإيجار في سكوير الخوض السيب Furnished Office for Rent in Al Khoud Al Seeb,"Muscat, Seeb",140.0,100.0,For Rent
90 m2 2 Bedrooms Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",17.0,90.0,For Rent
محلات للإيجار Shops for rent,"Muscat, Quriyat",120.0,40.0,For Rent
Furnished Daily in Muscat Al-Sifah,"Muscat, Al-Sifah",40.0,40.0,For Rent
Furnished Monthly in Muscat Seeb,"Muscat, Seeb",120.0,40.0,For Rent
280 m2 4 Bedrooms Townhouse for Rent in Dhofar Mirbat,"Dhofar, Mirbat",65.0,280.0,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",80.0,280.0,For Rent
132 m2 2 Bedrooms Townhouse for Rent in Al Batinah Sohar,"Al Batinah, Sohar",110.0,132.0,For Rent
