propert_title,propert_location,price,area,listing_type
Prime Location Apartment for Sale – Qurum  Next to PDO,"Muscat, Qurm",320 OMR,66,For Rent
400 m2 5 Bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",325 OMR,400,For Rent
102 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,102,For Rent
600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,600,For Rent
150 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",19 OMR,150,For Rent
600 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",25 OMR,600,For Rent
معارض للإيجار في العامرات السادسة قريب جميع الخدمات,"Muscat, Amerat",325 OMR,93,For Rent
Room for rent C7,"Muscat, Azaiba",225 OMR,,For Rent
200 m2 2 Bedrooms Townhouse for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",40 OMR,200,For Rent
مخزن و محلات للإيجار بمنطقة العتكية الصناعية بالعامرات تصلح كورشة أو مخازن  Warehouse and shops,"Muscat, Amerat",700 OMR,250,For Rent
600 ft² 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,,For Rent
340 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,340,For Rent
محل للإيجار,"Muscat, Seeb",340 OMR,,For Rent
18 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",28 OMR,18,For Rent
20 m2 2 Bedrooms Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",250 OMR,20,For Rent
165 m2 Studio Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",180 OMR,165,For Rent
Farm Land for Rent in Al Sharqiya Al Mudaibi,"Al Sharqiya, Al Mudaibi",200 OMR,,For Rent
200 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,200,For Rent
140 m2 2 Bedrooms Villa for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",260 OMR,140,For Rent
600 m2 More than 6 bedrooms Villa for Rent in Muscat Ansab,"Muscat, Ansab","1,000 OMR",600,For Rent
Furnished Monthly in Muscat Amerat,"Muscat, Amerat",95 OMR,,For Rent
63 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,63,For Rent
BRAND NEW OFFICES FOR RENT IN GHALA 1,"Muscat, Ghala",450 OMR,75,For Rent
محلات جديده واجهات أماميه في غلا الأولي مساحات متنوعه,"Muscat, Ghala",350 OMR,47,For Rent
2 BHK OPPOSITE ROSE GARDEN,"Muscat, Qurm",275 OMR,110,For Rent
Unfurnished Yearly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",300 OMR,,For Rent
130 m2 2 Bedrooms Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",220 OMR,130,For Rent
2 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,2,For Rent
للاستثمار او الايجار محلات وشقه بصناعيه بهلاء خميله,"Al Dakhiliya, Bahla",500 OMR,1200,For Rent
3 Bedrooms Chalet for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",90 OMR,250,For Rent
4+1 BEDROOM TWIN VILLA [MQ-191],"Muscat, Madinat As Sultan Qaboos","1,500 OMR",1,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud","65,000 OMR",,For Rent
80 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",150 OMR,80,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,200,For Rent
Furnished Daily in Muscat Al Khuwair,"Muscat, Al Khuwair",7 OMR,,For Rent
1000 m2 Studio Apartments for Rent in Muscat Al Khuwair,"Muscat, Al Khuwair",170 OMR,1000,For Rent
مكتب للبيع/ بالأثاث,"Muscat, Azaiba","5,000 OMR",200,For Rent
10 Rooms for rent Rusail Jifnin Seeb (5rooms left only) مسكن  للإيجار,"Muscat, Rusail",110 OMR,20,For Rent
مطعم شورما وموجود في الأغراض كامل,"Al Batinah, Sohar",300 OMR,40,For Rent
Banner# F01: Luxurious 1BHK flat in Muscat Hills for rent,"Muscat, Muscat Hills",400 OMR,80,For Rent
800 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,800,For Rent
300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,300,For Rent
220 m2 3 Bedrooms Villa for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",300 OMR,220,For Rent
15 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,15,For Rent
100 m2 3 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",150 OMR,100,For Rent
120 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,120,For Rent
200 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",20 OMR,200,For Rent
2000 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",70 OMR,2000,For Rent
Furnished Yearly in Muscat Amerat,"Muscat, Amerat",100 OMR,,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Taqah,"Dhofar, Taqah",30 OMR,200,For Rent
Furnished Yearly in Muscat Al Khoud,"Muscat, Al Khoud",125 OMR,,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,120,For Rent
70 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,70,For Rent
250 m2 2 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,250,For Rent
2BHK FULLY FURNISHED IN AL-KHUWAIR,"Muscat, Al Khuwair",310 OMR,1000,For Rent
200 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,200,For Rent
Residential Land for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah","7,000 OMR",,For Rent
50 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",38 OMR,50,For Rent
Unfurnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",90 OMR,,For Rent
Bousher Al Maha Luxury Apartment 2+1 bedroom fully furnished شقه سوبر لوكس غرفتين وصاله و غرفة عامله,"Muscat, Bosher",400 OMR,100,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",25 OMR,400,For Rent
مكتب للايجار غلا موقع مميز قريب بنك مسقط/Office for rent in Ghala Prime location near Bank Muscat,"Muscat, Ghala",270 OMR,53,For Rent
Apartments for rent in alkuwair,"Muscat, Al Khuwair",300 OMR,1111,For Rent
قبو للايجار غلا موقع مميز قريب بنك مسقط/Basement for rent in Ghala Prime location near Bank Muscat,"Muscat, Ghala",600 OMR,450,For Rent
محل للايجار السيب موقع مميز سوق السيب /Shop for rent in Seeb Prime location in Seeb Market,"Muscat, Seeb",500 OMR,30,For Rent
مكتب للايجار السيب موقع مميز سوق السيب /Office for rent in Seeb Prime location in Seeb Market,"Muscat, Seeb",250 OMR,66,For Rent
400 m2 4 Bedrooms Villa for Rent in Muscat Al Khoud,"Muscat, Al Khoud",500 OMR,400,For Rent
350 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,350,For Rent
50 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,50,For Rent
300 m2 4 Bedrooms Villa for Rent in Al Batinah Al Khaboura,"Al Batinah, Al Khaboura","2,000 OMR",300,For Rent
محلات ومكاتب مؤثثة للايجار بالرميس بسعر رخيص جدا وعقود مؤقتة ممكنة,"Al Batinah, Barka",50 OMR,20,For Rent
Office space for rent in CBD Ruwi,"Muscat, Ruwi","1,000 OMR",1,For Rent
350 m2 5 Bedrooms Villa for Rent in Muscat Seeb,"Muscat, Seeb",550 OMR,350,For Rent
Office Space for rent at CBD,"Muscat, Ruwi","1,800 OMR",1,For Rent
2 bedroom apartment for RENT in Al-Khuwair,"Muscat, Al Khuwair",210 OMR,1,For Rent
2000 m2 3 Bedrooms Apartments for Rent in Muscat Wadi Al Kabir,"Muscat, Wadi Al Kabir",170 OMR,2000,For Rent
2BHK Ruwi Al Amjad Building apartment for rent,"Muscat, Ruwi",220 OMR,1,For Rent
Furnished Monthly in Muscat Qurm,"Muscat, Qurm",55 OMR,,For Rent
3 BHK apartment for RENT in Mawaleh,"Muscat, Al Mawaleh",300 OMR,200,For Rent
Office Space for rent in Wuttayah Building,"Muscat, Al-Wuttayah",500 OMR,205,For Rent
Muscat Hills *NEW FURNITURE*,"Muscat, Muscat Hills","1,600 OMR",1,For Rent
4BHK villa for rent in Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos","1,000 OMR",1,For Rent
70 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",160 OMR,70,For Rent
6BHK villa for rent in Shatti Al Qurum,"Muscat, Qurm","1,500 OMR",1,For Rent
2BHK Al-Khuwair Plaza apartment for rent,"Muscat, Al Khuwair",220 OMR,1,For Rent
sharing room attached bathroom & sharing kitchen,"Muscat, Al Khoud",90 OMR,,For Rent
380 m2 4 Bedrooms Villa for Rent in Muscat Al Khoud,"Muscat, Al Khoud",450 OMR,380,For Rent
Furnished Monthly in Muscat Qurm,"Muscat, Qurm",90 OMR,,For Rent
300 m2 3 Bedrooms Apartments for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",20 OMR,300,For Rent
300 m2 4 Bedrooms Townhouse for Rent in Al Batinah Al Rumais,"Al Batinah, Al Rumais",700 OMR,300,For Rent
70 ft² Studio Apartments for Rent in Al Batinah Barka,"Al Batinah, Barka",15 OMR,,For Rent
150 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,150,For Rent
150 m2 Studio Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",100 OMR,150,For Rent
Fully furnished and Serviced office space for flexible rental terms,"Muscat, Al Khuwair",170 OMR,8,For Rent
Premium office spaces for RENT,"Muscat, Bosher",150 OMR,7,For Rent
Furnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",40 OMR,,For Rent
90 m2 2 Bedrooms Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",16 OMR,90,For Rent
200 m2 4 Bedrooms Villa for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",35 OMR,200,For Rent
500 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",60 OMR,500,For Rent
Furnished 1 Bedroom apartment For Rent In Mawalih South,"Muscat, Al Mawaleh",400 OMR,100,For Rent
300 m2 4 Bedrooms Villa for Rent in Muscat Al Khoud,"Muscat, Al Khoud","4,000 OMR",300,For Rent
15 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,15,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",20 OMR,,For Rent
1000 m2 More than 6 bedrooms Apartments for Rent in Al Batinah Saham,"Al Batinah, Saham",17 OMR,1000,For Rent
Furnished Daily in Al Batinah Saham,"Al Batinah, Saham",13 OMR,,For Rent
1 Bedroom Chalet for Rent in Al Batinah Saham,"Al Batinah, Saham",24 OMR,200,For Rent
Villa for rent,"Dhofar, Salala",25 OMR,200,For Rent
Unfurnished Monthly in Muscat Amerat,"Muscat, Amerat",100 OMR,,For Rent
11 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",11 OMR,11,For Rent
245 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,245,For Rent
Millennium Studio Private,"Dhofar, Salala",45 OMR,32,For Rent
200 m2 3 Bedrooms Villa for Rent in Muscat Qurm,"Muscat, Qurm",75 OMR,200,For Rent
Furnished Daily in Muscat Al Khuwair,"Muscat, Al Khuwair",8 OMR,,For Rent
"Furnished room for Rent in Daily, Weekly & Monthly basis","Muscat, Ghubrah",3 OMR,,For Rent
cheap and best room for rent,"Dhofar, Salala",15 OMR,50,For Rent
75 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,75,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",100 OMR,,For Rent
80 m2 2 Bedrooms Apartments for Rent in Al Sharqiya Ibra,"Al Sharqiya, Ibra",80 OMR,80,For Rent
DAILY BASISI FLAT FOR RENT IN SALALAH,"Dhofar, Salala",25 OMR,80,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",13 OMR,,For Rent
3 Bedrooms Chalet for Rent in Al Dakhiliya Other,"Al Dakhiliya, Other",95 OMR,300,For Rent
250 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",19 OMR,250,For Rent
Residential Land for Rent in Dhofar Salala,"Dhofar, Salala",15 OMR,,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",32 OMR,,For Rent
‎  مكاتب جديدة للإيجار  على شارع 18 نوفمبر في موقف استراتيجي,"Muscat, Azaiba",600 OMR,190,For Rent
Furnished Monthly in Muscat Ghubrah,"Muscat, Ghubrah",55 OMR,,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",50 OMR,150,For Rent
4 Bedrooms Chalet for Rent in Al Batinah Al Masnaah,"Al Batinah, Al Masnaah",10 OMR,220,For Rent
2 Bedrooms Chalet for Rent in Dhofar Salala,"Dhofar, Salala",45 OMR,200,For Rent
450 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",59 OMR,450,For Rent
354 m2 3 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",80 OMR,354,For Rent
New Building With Furnished Apartments,"Dhofar, Salala",40 OMR,111,For Rent
Shop for Rent – Wadi Adai (Near Ruwi) – Great Location!,"Muscat, Ruwi",90 OMR,15,For Rent
Warehouses For Sale مخازن للبيع او  الايجار,"Muscat, Rusail",900 OMR,350,For Rent
مخزن للايجار مساحة كبيرة في المعبيلة الثامنة,"Muscat, Halban",550 OMR,700,For Rent
200 m2 2 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",150 OMR,200,For Rent
100 m2 Studio Apartments for Rent in Muscat Al-Sifah,"Muscat, Al-Sifah",25 OMR,100,For Rent
2 Bedrooms Chalet for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",15 OMR,1,For Rent
5000000 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala","15,000 OMR",5000000,For Rent
180 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,180,For Rent
1 Bedroom Chalet for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,200,For Rent
212 m2 4 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",130 OMR,212,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",27 OMR,,For Rent
22000 m2 More than 6 bedrooms Townhouse for Rent in Dhofar Other,"Dhofar, Other",33 OMR,22000,For Rent
1 Bedroom Apartments for Rent in Muscat Amerat,"Muscat, Amerat",180 OMR,,For Rent
300 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",30 OMR,300,For Rent
2 Bedrooms Chalet for Rent in Al Sharqiya Sur,"Al Sharqiya, Sur",45 OMR,151,For Rent
HavenStay ? غرف للإيجار اليومي  Daily Room Rentals,"Muscat, Al-Hail",5 OMR,,For Rent
"Big Apartment on the ground floor, high privacy and safe family-friendly neighbourhood","Muscat, Wadi Al Kabir",210 OMR,130,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",25 OMR,,For Rent
500 m2 4 Bedrooms Townhouse for Rent in Dhofar Salala,"Dhofar, Salala",95 OMR,500,For Rent
300 m2 4 Bedrooms Villa for Rent in Al Batinah Barka,"Al Batinah, Barka",450 OMR,300,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",50 OMR,150,For Rent
85 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,85,For Rent
600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,600,For Rent
111 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,111,For Rent
300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,300,For Rent
600 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,600,For Rent
Furnished Daily in Al Batinah Barka,"Al Batinah, Barka",7 OMR,,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",50 OMR,450,For Rent
Mixed Use Land for Rent in Al Batinah Al Rumais,"Al Batinah, Al Rumais",2 OMR,,For Rent
Unfurnished Monthly in Muscat Al Khuwair,"Muscat, Al Khuwair",100 OMR,,For Rent
Sharing room,"Muscat, Al Khuwair",60 OMR,,For Rent
غرف للأجار,"Muscat, Al Maabilah",120 OMR,300,For Rent
Furnished Monthly in Muscat Al Maabilah,"Muscat, Al Maabilah",60 OMR,,For Rent
120 m2 3 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",15 OMR,120,For Rent
1 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",35 OMR,1,For Rent
Residential Land for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,,For Rent
Unfurnished Monthly in Muscat Ansab,"Muscat, Ansab",120 OMR,,For Rent
Industrial Land for Rent in Al Dakhiliya Adam,"Al Dakhiliya, Adam",300 OMR,,For Rent
مبنى سكني تجاري للإيجار,"Al Dakhiliya, Hamra","3,000 OMR",1600,For Rent
69 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,69,For Rent
150 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,150,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",30 OMR,,For Rent
Studio Chalet for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",15 OMR,60,For Rent
محل جانبي للإيجار في الخوض شارع مزون,"Muscat, Al Khoud",150 OMR,20,For Rent
Sharing rooms is available for indian men in MBD area nearby bank muscat and oman oil petrol bunk,"Muscat, Ruwi",65 OMR,,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Mirbat,"Dhofar, Mirbat",23 OMR,200,For Rent
130 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,130,For Rent
BANNER 107 - 5BHK VILLA FOR RENT NEAR MAWALEH SOUTH MEDICAL CENTER,"Muscat, Al Mawaleh",500 OMR,400,For Rent
120 m2 2 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",1 OMR,120,For Rent
900 m2 More than 6 bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",160 OMR,900,For Rent
Unfurnished Monthly in Muscat Ansab,"Muscat, Ansab",120 OMR,,For Rent
Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",65 OMR,,For Rent
For Rent: Elegant 4-Bedroom Villa & Spacious Layout  REF HO3020,"Muscat, Madinat As Sultan Qaboos",700 OMR,300,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,200,For Rent
100 m2 Studio Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,100,For Rent
30 m2 1 Bedroom Apartments for Rent in Al Dakhiliya Nizwa,"Al Dakhiliya, Nizwa",15 OMR,30,For Rent
105 m2 3 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",130 OMR,105,For Rent
30 m2 1 Bedroom Apartments for Rent in Muscat Halban,"Muscat, Halban",75 OMR,30,For Rent
140 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",200 OMR,140,For Rent
محل للايجار في بداية شارع سوق السيب,"Muscat, Seeb",150 OMR,35,For Rent
مغسلة للبيع على شارع سوق السيب.,"Muscat, Seeb","5,000 OMR",140,For Rent
200 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",20 OMR,200,For Rent
210 m2 2 Bedrooms Apartments for Rent in Muscat Seeb,"Muscat, Seeb",160 OMR,210,For Rent
288 m2 3 Bedrooms Townhouse for Rent in Al Dakhiliya Sumail,"Al Dakhiliya, Sumail",180 OMR,288,For Rent
350 m2 More than 6 bedrooms Villa for Rent in Muscat Al Mawaleh,"Muscat, Al Mawaleh",580 OMR,350,For Rent
furnished office space 130sqmeters in bushar,"Muscat, Bosher",850 OMR,130,For Rent
For Rent: Office Spaces from 70–240 SQM  Prime Commercial Building in Al Hamriyah  REF HO3019,"Muscat, Hamriya",275 OMR,70,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Suwaiq,"Al Batinah, Suwaiq",25 OMR,200,For Rent
300 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",65 OMR,300,For Rent
For Rent: Spacious 4-Bedroom Villa with Ample Parking – in Mina Al Fahal  REF HO3018,"Muscat, Qurm",600 OMR,300,For Rent
250 m2 3 Bedrooms Apartments for Rent in Dhofar Dhalkut,"Dhofar, Dhalkut",10 OMR,250,For Rent
120 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,120,For Rent
Furnished room for rent .,"Muscat, Ghubrah",170 OMR,,For Rent
Furnished Daily in Muscat Al Maabilah,"Muscat, Al Maabilah",10 OMR,,For Rent
Furnished Weekly in Dhofar Salala,"Dhofar, Salala",15 OMR,,For Rent
100 m2 2 Bedrooms Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",350 OMR,100,For Rent
90 m2 Studio Apartments for Rent in Muscat Muscat Hills,"Muscat, Muscat Hills",300 OMR,90,For Rent
250 m2 4 Bedrooms Villa for Rent in Muscat Madinat As Sultan Qaboos,"Muscat, Madinat As Sultan Qaboos",630 OMR,250,For Rent
محلات للايجار في صحم بمنقطة رويلة الزعاب على الشارع 100 ريال للمحلين,"Al Batinah, Saham",100 OMR,40,For Rent
500 m2 5 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",,500,For Rent
110 m2 2 Bedrooms Apartments for Rent in Muscat Ansab,"Muscat, Ansab",200 OMR,110,For Rent
1 m2 3 Bedrooms Villa for Rent in Dhofar Salala,"Dhofar, Salala",170 OMR,1,For Rent
Furnished Daily in Muscat Al Khoud,"Muscat, Al Khoud",15 OMR,,For Rent
1111 m2 1 Bedroom Apartments for Rent in Dhofar Other,"Dhofar, Other",18 OMR,1111,For Rent
2 Bedrooms Chalet for Rent in Al Batinah Barka,"Al Batinah, Barka",60 OMR,1200,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,100,For Rent
100 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",,100,For Rent
500 m2 Studio Apartments for Rent in Muscat Ghubrah,"Muscat, Ghubrah",180 OMR,500,For Rent
4 m2 3 Bedrooms Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",9 OMR,4,For Rent
Mixed Use Land for Rent in Dhofar Salala,"Dhofar, Salala",10 OMR,,For Rent
600 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,600,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",16 OMR,,For Rent
Semi Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",25 OMR,,For Rent
180 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,180,For Rent
400 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",30 OMR,400,For Rent
Furnished Daily in Al Batinah Sohar,"Al Batinah, Sohar",10 OMR,,For Rent
85 m2 2 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",25 OMR,85,For Rent
Furnished Daily in Dhofar Salala,"Dhofar, Salala",10 OMR,,For Rent
600 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",1 OMR,600,For Rent
مصنع للإيجار في الجفنين الصناعية – مناسب كمصنع -ورشه -مكاتب -ومخازن- Factory and offices for Rent,"Muscat, Al Jafnayn","1,500 OMR",767,For Rent
65 m2 1 Bedroom Apartments for Rent in Muscat Al-Hail,"Muscat, Al-Hail",300 OMR,65,For Rent
270 m2 4 Bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",340 OMR,270,For Rent
Wadi al kabir-Excellent 2bhk flat-OMR 265-Near to Kuwaiti Mosque!!,"Muscat, Wadi Al Kabir",265 OMR,110,For Rent
333 m2 5 Bedrooms Villa for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",500 OMR,333,For Rent
900 m2 3 Bedrooms Townhouse for Rent in Al Sharqiya Ja'alan Bani Bu Ali,"Al Sharqiya, Ja'alan Bani Bu Ali",30 OMR,900,For Rent
220 m2 5 Bedrooms Townhouse for Rent in Al Batinah Barka,"Al Batinah, Barka",220 OMR,220,For Rent
محلات للإيجار سوق مسار في بركاء,"Al Batinah, Barka",230 OMR,24,For Rent
600 m2 More than 6 bedrooms Townhouse for Rent in Al Batinah Barka,"Al Batinah, Barka",200 OMR,600,For Rent
88 m2 2 Bedrooms Apartments for Rent in Muscat Al Maabilah,"Muscat, Al Maabilah",360 OMR,88,For Rent
2 Bedrooms Chalet for Rent in Buraimi Al Buraimi,"Buraimi, Al Buraimi",20 OMR,200,For Rent
300 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",40 OMR,300,For Rent
333 m2 Studio Apartments for Rent in Muscat Al Khoud,"Muscat, Al Khoud",13 OMR,333,For Rent
180 m2 3 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",55 OMR,180,For Rent
1000 m2 1 Bedroom Apartments for Rent in Dhofar Other,"Dhofar, Other",20 OMR,1000,For Rent
Furnished Monthly in Muscat Al Khoud,"Muscat, Al Khoud",40 OMR,,For Rent
600 m2 4 Bedrooms Apartments for Rent in Dhofar Salala,"Dhofar, Salala",50 OMR,600,For Rent
One attached Room for rent in Azaiba,"Muscat, Azaiba",110 OMR,,For Rent
محلات للإيجار في المسفاة .. Three Shops and Room for rent in a very good area,"Muscat, Misfah",55 OMR,20,For Rent
115 m2 2 Bedrooms Apartments for Rent in Muscat Amerat,"Muscat, Amerat",150 OMR,115,For Rent
60 m2 1 Bedroom Apartments for Rent in Muscat Azaiba,"Muscat, Azaiba",20 OMR,60,For Rent
محلات الإيجار + غرفه وحمام والمطبخ يوجد شقة الإيجار من غرفتين وصالة ودورات المياة ومطبخ,"Muscat, Ansab",1 OMR,90,For Rent
Patient house flat for rent,"Muscat, Wadi Al Kabir",150 OMR,150,For Rent
30 m2 1 Bedroom Apartments for Rent in Dhofar Salala,"Dhofar, Salala",18 OMR,30,For Rent
Furnished Monthly in Muscat Al Mawaleh,"Muscat, Al Mawaleh",60 OMR,,For Rent
shop for rent,"Muscat, Al Maabilah",300 OMR,36,For Rent
